"sector","mean","innos","sem","q1","q2","q3","top25_bin_mean","top50_bin_mean","allmean","allinnos"
"Aerospace & Defence",0.225678504944307,17939,0.00872344893681743,0,0,0.00139999995008111,0.902576610968457,0.451331850634997,0.225678504944307,17939
"Alternative Energy",0.130082948572466,30197,0.00459114559956725,0,0,0,0.520280105701026,0.260157281809573,0.130082948572466,30197
"Automobiles & Parts",0.0438847092760065,245371,0.000801934842155318,0,0,0,0.175538121705215,0.0877690608526073,0.0438847092760065,245371
"Chemicals",0.154642085442976,22630,0.00810057550663552,0,0,0,0.618513678609851,0.309284170885951,0.154642085442976,22630
"Construction & Materials",0.162189892034318,22873,0.00545206153537339,0,0,0.00350000010803342,0.648372215508954,0.324365602911687,0.162189892034318,22873
"Electronic & Electrical Equipment",0.0725728000034814,176842,0.00128785539753818,0,0,0,0.290287916993863,0.145145600006963,0.0725728000034814,176842
"Fixed Line Telecommunications",0.0892913795296701,3515,0.010801592320805,0,0,0,0.357063935206815,0.178531967603407,0.0892913795296701,3515
"Food & Drug Retailers",0.655922636543946,159,0.283774333062153,0,0,4.99999987368938e-05,2.60729248026219,1.30364624013109,0.655922636543946,159
"General Industrials",0.0796295061569911,30231,0.00393219305300305,0,0,0,0.318507488837258,0.159253744418629,0.0796295061569911,30231
"Health Care Equipment & Services",0.0450940963309653,14229,0.00376983451282006,0,0,0,0.18033836332021,0.0901818547706684,0.0450940963309653,14229
"Industrial Engineering",0.0896600509570885,26749,0.006134134757832,0,0,0,0.358599985504061,0.179313398358965,0.0896600509570885,26749
"Industrial Metals & Mining",0.0427204988308576,25743,0.00281494322102975,0,0,0,0.170875357582779,0.0854376787913896,0.0427204988308576,25743
"Leisure Goods",0.0777477074326521,86714,0.00191790811682029,0,0,0,0.310983657102034,0.155495414865304,0.0777477074326521,86714
"Oil & Gas Producers",1.57489996871906,6,1.57487996880423,0,0,7.49999962863512e-05,4.72469990615718,3.14979993743812,1.57489996871906,6
"Personal Goods",0.0915512945033694,5215,0.0116311028531986,0,0,0,0.366134969965545,0.183067484982773,0.0915512945033694,5215
"Software & Computer Services",0.467118884536715,119165,0.00449020019976645,0,0,0.141499996185303,1.83837583830138,0.934229929272069,0.467118884536715,119165
"Technology Hardware & Equipment",0.192142310605606,265614,0.0017775327110404,0,0,0.0020000000949949,0.768436639195815,0.384284621211212,0.192142310605606,265614
"Travel & Leisure",0.000649173431407423,3569,0.000468164842184003,0,0,0,0.00259451285183997,0.00129798318022022,0.000649173431407423,3569
