"technology","mean","innos","sem","q1","q2","q3","top25_bin_mean","top50_bin_mean","top3_ids","allmean","allinnos","top3_ids_url","greenclass","linnos1","linnos2","widthscale","linnos","width","x_pos","xmin","xmax","ymin","ymax","value_label"
"AI",2.45267888687013,60963,0.0346750098806431,0,0,1.5361499786377,9.4147748033031,4.90527731055257,"US9516053, US2011219208, EP2556665, WO2015177760, EP3254404, EP2686835, EP3488352, US2012254333, WO2014026636, EP2336886",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS9516053%20OR%20pn%3DUS2011219208%20OR%20pn%3DEP2556665%20OR%20pn%3DWO2015177760%20OR%20pn%3DEP3254404%20OR%20pn%3DEP2686835%20OR%20pn%3DEP3488352%20OR%20pn%3DUS2012254333%20OR%20pn%3DWO2014026636%20OR%20pn%3DEP2336886"")","AI",60963,11.0180388050057,"log",11.0180388050057,1,2,1.5,2.5,0,2.45267888687013,"$2.5 million"
"Adaptation",3.91886517494315,3812,0.313541022513303,0,0,1.16254997253418,15.4611424421589,7.8377303498863,"EP2800811, EP2951285, EP2571503, EP2416792, EP2381953, EP2440183, EP2493879, EP3060251, EP2432792, EP2997134",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2800811%20OR%20pn%3DEP2951285%20OR%20pn%3DEP2571503%20OR%20pn%3DEP2416792%20OR%20pn%3DEP2381953%20OR%20pn%3DEP2440183%20OR%20pn%3DEP2493879%20OR%20pn%3DEP3060251%20OR%20pn%3DEP2432792%20OR%20pn%3DEP2997134"")","green",3812,8.24617155985756,"log",8.24617155985756,0.748424624907941,1,0.625787687546029,1.37421231245397,0,3.91886517494315,"$3.9 million"
"Any Agriculture & Food technology",1.79448139296704,8426,0.118197943065256,0,0,0.0984250009059906,7.17303835649413,3.58896278593407,"EP2764103, EP2571512, US2013223673, EP3119425, EP3172237, EP2776463, EP2812442, WO2012092431, EP2822970, US2011078167",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2764103%20OR%20pn%3DEP2571512%20OR%20pn%3DUS2013223673%20OR%20pn%3DEP3119425%20OR%20pn%3DEP3172237%20OR%20pn%3DEP2776463%20OR%20pn%3DEP2812442%20OR%20pn%3DWO2012092431%20OR%20pn%3DEP2822970%20OR%20pn%3DUS2011078167"")","agrifood",8426,9.03919611577235,"log",9.03919611577235,0.820399734993277,3,2.58980013250336,3.41019986749664,0,1.79448139296704,"$1.8 million"
"Circular Economy",1.2213941497369,1742,0.0958457444590302,0,0,0.209999993443489,4.86386286426301,2.44278829947379,"EP2566898, EP2585117, US2011061572, EP2611740, EP2606008, WO2013166830, EP2558605, EP2437870, EP2528699, EP2649252",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2566898%20OR%20pn%3DEP2585117%20OR%20pn%3DUS2011061572%20OR%20pn%3DEP2611740%20OR%20pn%3DEP2606008%20OR%20pn%3DWO2013166830%20OR%20pn%3DEP2558605%20OR%20pn%3DEP2437870%20OR%20pn%3DEP2528699%20OR%20pn%3DEP2649252"")","green",1742,7.46336304552002,"log",7.46336304552002,0.677376725350545,4,3.66131163732473,4.33868836267527,0,1.2213941497369,"$1.2 million"
"GHG Capture",5.02499076340082,379,0.615738616411518,0,0,4.01870012283325,18.3862441916215,10.0235342069943,"EP3188827, US2014366576, US2015367336, EP2437867, EP2846896, WO2011035195, EP2680942, EP2512669, EP2459300, EP3383520",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP3188827%20OR%20pn%3DUS2014366576%20OR%20pn%3DUS2015367336%20OR%20pn%3DEP2437867%20OR%20pn%3DEP2846896%20OR%20pn%3DWO2011035195%20OR%20pn%3DEP2680942%20OR%20pn%3DEP2512669%20OR%20pn%3DEP2459300%20OR%20pn%3DEP3383520"")","green",379,5.94017125272043,"log",5.94017125272043,0.539131451417804,5,4.7304342742911,5.2695657257089,0,5.02499076340082,"$5 million"
"Green Agriculture",0.971525240825688,527,0.130837693110592,0,0,0.359250009059906,3.8313818325599,1.93937046179976,"EP2978820, KR20120022291, CN101606579, EP2880158, EP3073829, EP2790508, US8847514, WO2013148254, WO2015161195, EP2892318",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2978820%20OR%20pn%3DKR20120022291%20OR%20pn%3DCN101606579%20OR%20pn%3DEP2880158%20OR%20pn%3DEP3073829%20OR%20pn%3DEP2790508%20OR%20pn%3DUS8847514%20OR%20pn%3DWO2013148254%20OR%20pn%3DWO2015161195%20OR%20pn%3DEP2892318"")","green",527,6.26909628370626,"log",6.26909628370626,0.568984770761387,6,5.71550761461931,6.28449238538069,0,0.971525240825688,"$1 million"
"Green Energy",1.70059630965514,19776,0.0386283404698715,0,0,1.06274998188019,6.5279256915101,3.40119261931028,"EP2606549, EP2735048, EP2714625, EP2876112, WO2011156776, US2015151281, EP2433475, EP2467371, EP2868142, EP2501698",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2606549%20OR%20pn%3DEP2735048%20OR%20pn%3DEP2714625%20OR%20pn%3DEP2876112%20OR%20pn%3DWO2011156776%20OR%20pn%3DUS2015151281%20OR%20pn%3DEP2433475%20OR%20pn%3DEP2467371%20OR%20pn%3DEP2868142%20OR%20pn%3DEP2501698"")","green",19776,9.89227492532203,"log",9.89227492532203,0.897825384389438,7,6.55108730780528,7.44891269219472,0,1.70059630965514,"$1.7 million"
"Green Housing",1.64801866631107,6467,0.0601463607587751,0,0,1.35584998130798,6.13600607108539,3.29552774119779,"EP3362965, WO2011156776, WO2011008635, US2011062872, EP2962521, EP2823674, EP2456083, WO2010088545, EP2683903, EP2320710",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP3362965%20OR%20pn%3DWO2011156776%20OR%20pn%3DWO2011008635%20OR%20pn%3DUS2011062872%20OR%20pn%3DEP2962521%20OR%20pn%3DEP2823674%20OR%20pn%3DEP2456083%20OR%20pn%3DWO2010088545%20OR%20pn%3DEP2683903%20OR%20pn%3DEP2320710"")","green",6467,8.774622220697,"log",8.774622220697,0.796386941087055,8,7.60180652945647,8.39819347054353,0,1.64801866631107,"$1.6 million"
"Green ICT",3.06651642681589,6812,0.137168625640047,0,0.033500000834465,2.30750012397766,11.340131177807,6.13253840266416,"US2011219208, EP2826298, EP3455952, EP2837228, EP2845356, EP3488352, EP2702800, EP3064003, EP2807889, EP2820515",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS2011219208%20OR%20pn%3DEP2826298%20OR%20pn%3DEP3455952%20OR%20pn%3DEP2837228%20OR%20pn%3DEP2845356%20OR%20pn%3DEP3488352%20OR%20pn%3DEP2702800%20OR%20pn%3DEP3064003%20OR%20pn%3DEP2807889%20OR%20pn%3DEP2820515"")","green",6812,8.82658783077367,"log",8.82658783077367,0.801103353054407,9,8.5994483234728,9.4005516765272,0,3.06651642681589,"$3.1 million"
"Green Manufacturing",1.98485402167247,7132,0.0845217390336315,0,0,0.951449990272522,7.74029415748926,3.96970804334494,"EP2548858, US2013079566, EP2432792, EP2714625, WO2012092431, EP3188827, WO2013015997, EP2629889, EP2579981, WO2011041732",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2548858%20OR%20pn%3DUS2013079566%20OR%20pn%3DEP2432792%20OR%20pn%3DEP2714625%20OR%20pn%3DWO2012092431%20OR%20pn%3DEP3188827%20OR%20pn%3DWO2013015997%20OR%20pn%3DEP2629889%20OR%20pn%3DEP2579981%20OR%20pn%3DWO2011041732"")","green",7132,8.87248718227804,"log",8.87248718227804,0.805269189853195,10,9.5973654050734,10.4026345949266,0,1.98485402167247,"$2 million"
"Green Technology",2.06671734685171,45921,0.0403675067392466,0,0,1.2179000377655,7.93279527778898,4.13334468380199,"EP2800811, EP2951285, US2011219208, EP2826298, EP3455952, EP2571503, EP2837228, EP2976687, EP2845356, EP3488352",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2800811%20OR%20pn%3DEP2951285%20OR%20pn%3DUS2011219208%20OR%20pn%3DEP2826298%20OR%20pn%3DEP3455952%20OR%20pn%3DEP2571503%20OR%20pn%3DEP2837228%20OR%20pn%3DEP2976687%20OR%20pn%3DEP2845356%20OR%20pn%3DEP3488352"")","green",45921,10.734699584052,"log",10.734699584052,0.974284060351553,11,10.5128579698242,11.4871420301758,0,2.06671734685171,"$2.1 million"
"Green Transport",1.81262622916695,5098,0.0812268933406513,0,0,1.51585006713867,6.69014495410171,3.6252524583339,"EP2976687, EP3167535, WO2011156776, US2016200438, EP2465157, WO2016019562, EP3177531, WO2016078093, WO2014022224, WO2015007131",1.59923618209684,612925,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2976687%20OR%20pn%3DEP3167535%20OR%20pn%3DWO2011156776%20OR%20pn%3DUS2016200438%20OR%20pn%3DEP2465157%20OR%20pn%3DWO2016019562%20OR%20pn%3DEP3177531%20OR%20pn%3DWO2016078093%20OR%20pn%3DWO2014022224%20OR%20pn%3DWO2015007131"")","green",5098,8.53679972105516,"log",8.53679972105516,0.774802110623961,12,11.612598944688,12.387401055312,0,1.81262622916695,"$1.8 million"

