"technology","mean","innos","sem","q1","q2","q3","top25_bin_mean","top50_bin_mean","top3_ids","allmean","allinnos","top3_ids_url","greenclass","linnos1","linnos2","widthscale","linnos","width","x_pos","xmin","xmax","ymin","ymax","value_label"
"AI",4.55891580658712,426128,0.0186631919861948,0,0.637700021266937,4.66582489013672,15.8670224903564,9.07140947146115,"EP2449477, EP2556477, EP2391947, US2014306814, US2017046638, US9516053, EP2691935, WO2015175722, US2016026253, EP2460126",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2449477%20OR%20pn%3DEP2556477%20OR%20pn%3DEP2391947%20OR%20pn%3DUS2014306814%20OR%20pn%3DUS2017046638%20OR%20pn%3DUS9516053%20OR%20pn%3DEP2691935%20OR%20pn%3DWO2015175722%20OR%20pn%3DUS2016026253%20OR%20pn%3DEP2460126"")","AI",426128,12.9624973963131,"log",12.9624973963131,0.986280593455575,2,1.50685970327221,2.49314029672779,0,4.55891580658712,"$4.6 million"
"Adaptation",3.425256857927,47888,0.0587652488602854,0,0,2.56612491607666,12.8754988490161,6.850513715854,"US2014306814, EP2800811, EP2833920, EP2850102, EP2499589, US8514825, EP2814846, EP2928496, EP3097121, EP2951285",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS2014306814%20OR%20pn%3DEP2800811%20OR%20pn%3DEP2833920%20OR%20pn%3DEP2850102%20OR%20pn%3DEP2499589%20OR%20pn%3DUS8514825%20OR%20pn%3DEP2814846%20OR%20pn%3DEP2928496%20OR%20pn%3DEP3097121%20OR%20pn%3DEP2951285"")","green",47888,10.7766411119326,"log",10.7766411119326,0.819964831341661,1,0.59001758432917,1.40998241567083,0,3.425256857927,"$3.4 million"
"Any Agriculture & Food technology",2.7529047052543,107715,0.0298067193968766,0,0,1.91315007209778,10.4937985862659,5.50575829638061,"US2014306814, EP2764103, EP2833920, EP2460126, US2014377444, US2011238474, EP2571512, WO2015075473, EP2206723, US9102055",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS2014306814%20OR%20pn%3DEP2764103%20OR%20pn%3DEP2833920%20OR%20pn%3DEP2460126%20OR%20pn%3DUS2014377444%20OR%20pn%3DUS2011238474%20OR%20pn%3DEP2571512%20OR%20pn%3DWO2015075473%20OR%20pn%3DEP2206723%20OR%20pn%3DUS9102055"")","agrifood",107715,11.5872534129275,"log",11.5872534129275,0.881642080473842,3,2.55917895976308,3.44082104023692,0,2.7529047052543,"$2.8 million"
"Circular Economy",2.44647227922434,26456,0.0396748037017019,0,0,2.29239988327026,9.17973420315002,4.89294455844867,"WO2014153570, US2018166753, US2013026760, US2016259345, EP3281919, EP2665782, KR101024447, RU2463320, KR20110005100, US2012097602",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DWO2014153570%20OR%20pn%3DUS2018166753%20OR%20pn%3DUS2013026760%20OR%20pn%3DUS2016259345%20OR%20pn%3DEP3281919%20OR%20pn%3DEP2665782%20OR%20pn%3DKR101024447%20OR%20pn%3DRU2463320%20OR%20pn%3DKR20110005100%20OR%20pn%3DUS2012097602"")","green",26456,10.1832760525563,"log",10.1832760525563,0.774817324267607,4,3.6125913378662,4.3874086621338,0,2.44647227922434,"$2.4 million"
"GHG Capture",4.46142297723561,5792,0.133281923506706,0,0.375800013542175,4.78780031204224,15.627891837892,8.91007768782628,"EP2680940, EP3641915, EP3218103, EP2613867, EP2506969, KR20120054958, EP2504097, EP2405989, EP3188827, EP2588217",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2680940%20OR%20pn%3DEP3641915%20OR%20pn%3DEP3218103%20OR%20pn%3DEP2613867%20OR%20pn%3DEP2506969%20OR%20pn%3DKR20120054958%20OR%20pn%3DEP2504097%20OR%20pn%3DEP2405989%20OR%20pn%3DEP3188827%20OR%20pn%3DEP2588217"")","green",5792,8.66440557109662,"log",8.66440557109662,0.659250668087427,5,4.67037466595629,5.32962533404371,0,4.46142297723561,"$4.5 million"
"Green Agriculture",1.97547836798329,7798,0.0567949743447949,0,0,1.76240003108978,7.36500405794535,3.95095673596658,"RU2011132874, RU2494641, RU2011132867, EP2391881, KR101331289, EP2408924, EP2911503, EP2855102, RU2461319, EP2456323",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DRU2011132874%20OR%20pn%3DRU2494641%20OR%20pn%3DRU2011132867%20OR%20pn%3DEP2391881%20OR%20pn%3DKR101331289%20OR%20pn%3DEP2408924%20OR%20pn%3DEP2911503%20OR%20pn%3DEP2855102%20OR%20pn%3DRU2461319%20OR%20pn%3DEP2456323"")","green",7798,8.9617507993305,"log",8.9617507993305,0.681874844524839,6,5.65906257773758,6.34093742226242,0,1.97547836798329,"$2 million"
"Green Energy",2.27338726434712,224837,0.0130883041806485,0,0,2.12800002098083,8.26167859371564,4.54675430624728,"KR101162033, WO2010136109, US2011046792, EP2387776, KR101579930, EP2427862, WO2014153570, EP2898553, KR20120081539, EP3172775",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DKR101162033%20OR%20pn%3DWO2010136109%20OR%20pn%3DUS2011046792%20OR%20pn%3DEP2387776%20OR%20pn%3DKR101579930%20OR%20pn%3DEP2427862%20OR%20pn%3DWO2014153570%20OR%20pn%3DEP2898553%20OR%20pn%3DKR20120081539%20OR%20pn%3DEP3172775"")","green",224837,12.3231354218621,"log",12.3231354218621,0.937633308267007,7,6.5311833458665,7.4688166541335,0,2.27338726434712,"$2.3 million"
"Green Housing",2.58435299105132,54809,0.0290232447533608,0,0.270999997854233,2.70260000228882,9.04760020356678,5.15552349157239,"US2011046792, EP2387776, EP2973470, EP2400621, EP3055851, US2011231028, EP2769193, EP3362965, US2010324962, US2015370272",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS2011046792%20OR%20pn%3DEP2387776%20OR%20pn%3DEP2973470%20OR%20pn%3DEP2400621%20OR%20pn%3DEP3055851%20OR%20pn%3DUS2011231028%20OR%20pn%3DEP2769193%20OR%20pn%3DEP3362965%20OR%20pn%3DUS2010324962%20OR%20pn%3DUS2015370272"")","green",54809,10.9116279380402,"log",10.9116279380402,0.830235605783624,8,7.58488219710819,8.41511780289181,0,2.58435299105132,"$2.6 million"
"Green ICT",4.90671692549226,30550,0.0673732596666021,0,1.42074990272522,5.40837478637695,16.064649236736,9.58006628272967,"US8514825, WO2015065913, US2011046792, EP2668584, US2011219208, EP2826298, EP2494472, EP3455952, EP2973470, EP2904850",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS8514825%20OR%20pn%3DWO2015065913%20OR%20pn%3DUS2011046792%20OR%20pn%3DEP2668584%20OR%20pn%3DUS2011219208%20OR%20pn%3DEP2826298%20OR%20pn%3DEP2494472%20OR%20pn%3DEP3455952%20OR%20pn%3DEP2973470%20OR%20pn%3DEP2904850"")","green",30550,10.3271526972882,"log",10.3271526972882,0.785764500433751,9,8.60711774978313,9.39288225021687,0,4.90671692549226,"$4.9 million"
"Green Manufacturing",2.59659598279326,76989,0.0265437051527662,0,0,2.22289991378784,9.55332483975519,5.19312451277492,"EP2484752, WO2010115108, EP2742142, WO2014153570, EP3004127, EP2417222, EP2850626, EP2917797, EP3303221, EP2680940",2.37217291692678,5447207,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2484752%20OR%20pn%3DWO2010115108%20OR%20pn%3DEP2742142%20OR%20pn%3DWO2014153570%20OR%20pn%3DEP3004127%20OR%20pn%3DEP2417222%20OR%20pn%3DEP2850626%20OR%20pn%3DEP2917797%20OR%20pn%3DEP3303221%20OR%20pn%3DEP2680940"")","green",76989,11.2514308222721,"log",11.2514308222721,0.856090267896305,10,9.57195486605185,10.4280451339482,0,2.59659598279326,"$2.6 million"
