"technology","mean","innos","sem","q1","q2","q3","top25_bin_mean","top50_bin_mean","top3_ids","allmean","allinnos","top3_ids_url","greenclass","linnos1","linnos2","widthscale","linnos","width","x_pos","xmin","xmax","ymin","ymax","value_label"
"AI",3.85123320428946,22506,0.072176784666444,0,0.450800001621246,3.76697492599487,13.5323041745056,7.67955323874204,"US2012290950, US2016062947, EP2583211, EP3155524, WO2016007904, US2011208822, WO2011084894, WO2011119859, WO2012150602, EP3488352",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS2012290950%20OR%20pn%3DUS2016062947%20OR%20pn%3DEP2583211%20OR%20pn%3DEP3155524%20OR%20pn%3DWO2016007904%20OR%20pn%3DUS2011208822%20OR%20pn%3DWO2011084894%20OR%20pn%3DWO2011119859%20OR%20pn%3DWO2012150602%20OR%20pn%3DEP3488352"")","AI",22506,10.0215816509186,"log",10.0215816509186,1,2,1.5,2.5,0,3.85123320428946,"$3.9 million"
"Adaptation",1.68064100817504,3472,0.190396099406195,0,0,0,6.72256403270018,3.36128201635009,"EP2850102, EP2585099, EP2440183, EP2705029, EP2486135, EP3322441, EP3137455, EP3041827, EP3092235, EP2578209",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2850102%20OR%20pn%3DEP2585099%20OR%20pn%3DEP2440183%20OR%20pn%3DEP2705029%20OR%20pn%3DEP2486135%20OR%20pn%3DEP3322441%20OR%20pn%3DEP3137455%20OR%20pn%3DEP3041827%20OR%20pn%3DEP3092235%20OR%20pn%3DEP2578209"")","green",3472,8.15277405274407,"log",8.15277405274407,0.813521691159077,1,0.593239154420461,1.40676084557954,0,1.68064100817504,"$1.7 million"
"Any Agriculture & Food technology",1.45056326146284,5746,0.0855363981735544,0,0,0,5.80023416866075,2.90112652292569,"EP2793618, EP2978665, EP2629889, US7955175, US2014035913, EP2844667, WO2012131429, EP3074206, US2011288917, EP2493328",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2793618%20OR%20pn%3DEP2978665%20OR%20pn%3DEP2629889%20OR%20pn%3DUS7955175%20OR%20pn%3DUS2014035913%20OR%20pn%3DEP2844667%20OR%20pn%3DWO2012131429%20OR%20pn%3DEP3074206%20OR%20pn%3DUS2011288917%20OR%20pn%3DEP2493328"")","agrifood",5746,8.65643325850774,"log",8.65643325850774,0.863779147846815,3,2.56811042607659,3.43188957392341,0,1.45056326146284,"$1.5 million"
"Circular Economy",0.741336105616887,1875,0.0835270019822804,0,0,0,2.96376374846837,1.48188187423418,"EP2566898, EP2493328, WO2010123848, WO2013126024, EP2578510, EP2872229, EP3135655, EP2464714, EP2931829, EP2534931",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2566898%20OR%20pn%3DEP2493328%20OR%20pn%3DWO2010123848%20OR%20pn%3DWO2013126024%20OR%20pn%3DEP2578510%20OR%20pn%3DEP2872229%20OR%20pn%3DEP3135655%20OR%20pn%3DEP2464714%20OR%20pn%3DEP2931829%20OR%20pn%3DEP2534931"")","green",1875,7.53689712956617,"log",7.53689712956617,0.752066629011133,4,3.62396668549443,4.37603331450557,0,0.741336105616887,"$0.7 million"
"GHG Capture",2.14705845470791,219,0.382434866170643,0,0,1.69700002670288,8.28500366427682,4.27459819619121,"US2013157837, WO2011137227, EP2691171, EP2459755, KR20100081028, WO2010109477, EP2406566, EP2699341, KR20120032310, EP2461892",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DUS2013157837%20OR%20pn%3DWO2011137227%20OR%20pn%3DEP2691171%20OR%20pn%3DEP2459755%20OR%20pn%3DKR20100081028%20OR%20pn%3DWO2010109477%20OR%20pn%3DEP2406566%20OR%20pn%3DEP2699341%20OR%20pn%3DKR20120032310%20OR%20pn%3DEP2461892"")","green",219,5.39362754635236,"log",5.39362754635236,0.538201227533577,5,4.73089938623321,5.26910061376679,0,2.14705845470791,"$2.1 million"
"Green Agriculture",0.90465938089296,421,0.19611228451315,0,0,0,3.59303395618808,1.80503127656842,"EP2713768, WO2010109436, WO2015140820, EP2464363, WO2013141815, US2011179706, US2014363855, WO2010093230, WO2013141722, EP3038457",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2713768%20OR%20pn%3DWO2010109436%20OR%20pn%3DWO2015140820%20OR%20pn%3DEP2464363%20OR%20pn%3DWO2013141815%20OR%20pn%3DUS2011179706%20OR%20pn%3DUS2014363855%20OR%20pn%3DWO2010093230%20OR%20pn%3DWO2013141722%20OR%20pn%3DEP3038457"")","green",421,6.04500531403601,"log",6.04500531403601,0.603198728963299,6,5.69840063551835,6.30159936448165,0,0.90465938089296,"$0.9 million"
"Green Energy",1.18087716837923,7240,0.0481088754902256,0,0,0.237000003457069,4.71184524803201,2.36175433675847,"EP2501782, EP2576762, EP2449259, WO2012011126, EP2619168, US2011091945, WO2010123848, US2013157837, EP2558572, WO2017048201",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2501782%20OR%20pn%3DEP2576762%20OR%20pn%3DEP2449259%20OR%20pn%3DWO2012011126%20OR%20pn%3DEP2619168%20OR%20pn%3DUS2011091945%20OR%20pn%3DWO2010123848%20OR%20pn%3DUS2013157837%20OR%20pn%3DEP2558572%20OR%20pn%3DWO2017048201"")","green",7240,8.88751459738882,"log",8.88751459738882,0.886837517965458,7,6.55658124101727,7.44341875898273,0,1.18087716837923,"$1.2 million"
"Green Housing",1.51850929644895,1538,0.121669044083947,0,0,0.88117504119873,5.87923999405526,3.03701859289789,"EP2449259, EP2847947, EP3201695, WO2013018106, EP2779569, EP2688978, US2012267952, WO2017009858, EP2774253, US2013151012",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP2449259%20OR%20pn%3DEP2847947%20OR%20pn%3DEP3201695%20OR%20pn%3DWO2013018106%20OR%20pn%3DEP2779569%20OR%20pn%3DEP2688978%20OR%20pn%3DUS2012267952%20OR%20pn%3DWO2017009858%20OR%20pn%3DEP2774253%20OR%20pn%3DUS2013151012"")","green",1538,7.33888813383888,"log",7.33888813383888,0.732308371021074,8,7.63384581448946,8.36615418551054,0,1.51850929644895,"$1.5 million"
"Green ICT",4.68667103329273,1712,0.304614691377098,0,1.18199992179871,5.23234987258911,15.5403801603852,9.18899300151339,"EP3455952, EP3488352, EP3064003, US2011215921, EP2625604, EP2406984, EP2470975, US2015188753, EP2847947, EP2995019",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP3455952%20OR%20pn%3DEP3488352%20OR%20pn%3DEP3064003%20OR%20pn%3DUS2011215921%20OR%20pn%3DEP2625604%20OR%20pn%3DEP2406984%20OR%20pn%3DEP2470975%20OR%20pn%3DUS2015188753%20OR%20pn%3DEP2847947%20OR%20pn%3DEP2995019"")","green",1712,7.44600149832412,"log",7.44600149832412,0.742996640419689,9,8.62850167979015,9.37149832020985,0,4.68667103329273,"$4.7 million"
"Green Manufacturing",2.06995459287029,2665,0.150694644595315,0,0,0.815199971199036,8.17580448267521,4.13835633158239,"EP3004127, EP2852296, EP2766117, EP2504412, EP2629889, EP2501782, EP2619168, EP3094733, WO2015154258, US2013157837",1.21556551084407,304633,"window.open(""https://worldwide.espacenet.com/patent/search?q=pn%3DEP3004127%20OR%20pn%3DEP2852296%20OR%20pn%3DEP2766117%20OR%20pn%3DEP2504412%20OR%20pn%3DEP2629889%20OR%20pn%3DEP2501782%20OR%20pn%3DEP2619168%20OR%20pn%3DEP3094733%20OR%20pn%3DWO2015154258%20OR%20pn%3DUS2013157837"")","green",2665,7.88833450073865,"log",7.88833450073865,0.787134683477392,10,9.6064326582613,10.3935673417387,0,2.06995459287029,"$2.1 million"
